88games.zip,'88 Games
flagrall.zip,'96 Flag Rally
99lstwarb.zip,'99: The Last War
99lstwark.zip,'99: The Last War
99lstwar.zip,'99: The Last War
99lstwara.zip,'99: The Last War
10yard85.zip,10-Yard Fight '85
10yardj.zip,10-Yard Fight
10yard.zip,10-Yard Fight
gtmro.zip,1000 Miglia: Great 1000 Miles Rally
gtmrb.zip,1000 Miglia: Great 1000 Miles Rally
gtmra.zip,1000 Miglia: Great 1000 Miles Rally
gtmr.zip,1000 Miglia: Great 1000 Miles Rally
119.zip,119
cprogolf18.zip,18 Challenge Pro Golf
progolf.zip,18 Holes Pro Golf
1941j.zip,1941: Counter Attack
1941u.zip,1941: Counter Attack
1941.zip,1941: Counter Attack
1941r1.zip,1941: Counter Attack
1942c64.zip,1942
1942b.zip,1942
1942a.zip,1942
1942abl.zip,1942
1942.zip,1942
1942w.zip,1942
1943kai.zip,1943 Kai: Midway Kaisen
1943b.zip,1943: Battle of Midway
1943b2.zip,1943: Battle of Midway
1943bj.zip,1943: Midway Kaisen
1943ja.zip,1943: Midway Kaisen
1943jah.zip,1943: Midway Kaisen
1943jaha.zip,1943: Midway Kaisen
1943j.zip,1943: Midway Kaisen
1943.zip,1943: The Battle of Midway
1943ua.zip,1943: The Battle of Midway
1943u.zip,1943: The Battle of Midway
1943mii.zip,1943: The Battle of Midway Mark II
1944.zip,1944: The Loop Master
1944j.zip,1944: The Loop Master
1944ad.zip,1944: The Loop Master
1944d.zip,1944: The Loop Master
1944u.zip,1944: The Loop Master
bgareggabl.zip,1945 Er Dai / 1945 Part-2
1945kiiin.zip,1945k III
1945kiii.zip,1945k III
1945kiiio.zip,1945k III
1945kiiipt.zip,1945k III
spikes91.zip,1991 Spikes
spikes91b.zip,1991 Spikes
19xxar1.zip,19XX: The War Against Destiny
19xxa.zip,19XX: The War Against Destiny
19xxb.zip,19XX: The War Against Destiny
19xx.zip,19XX: The War Against Destiny
19xxh.zip,19XX: The War Against Destiny
19xxjr2.zip,19XX: The War Against Destiny
19xxjr1.zip,19XX: The War Against Destiny
19xxj.zip,19XX: The War Against Destiny
19xxd.zip,19XX: The War Against Destiny
19xxu.zip,19XX: The War Against Destiny
19yyo.zip,19YY
19yy.zip,19YY
openice.zip,2 On 2 Open Ice Challenge
openicea.zip,2 On 2 Open Ice Challenge
2020bbcd.zip,2020 Super Baseball
2020bb.zip,2020 Super Baseball
2020bba.zip,2020 Super Baseball
2020bbh.zip,2020 Super Baseball
test240p.zip,240p Test Suite
3countb.zip,3 Count Bout / Fire Suplex
3countba.zip,3 Count Bout / Fire Suplex
3on3dunk.zip,3 On 3 Dunk Madness
tceptor2.zip,3-D Thunder Ceptor II
3x3puzzl.zip,3X3 Puzzle
3x3puzzla.zip,3X3 Puzzle
4enraya.zip,4 En Raya
4enrayaa.zip,4 En Raya
4in1.zip,4 Fun in 1
4play.zip,4 player input test
4dwarrio.zip,4-D Warriors
600.zip,600
64streetj.zip,64th. Street: A Detective Story
64streetja.zip,64th. Street: A Detective Story
64street.zip,64th. Street: A Detective Story
7ordi.zip,7 Ordi
800fatha.zip,800 Fathoms
800fath.zip,800 Fathoms
ad2083.zip,A. D. 2083
abcopjd.zip,A.B. Cop
abcopj.zip,A.B. Cop
abcopd.zip,A.B. Cop
abcop.zip,A.B. Cop
abscam.zip,Abscam
abyssali.zip,Abyssal Infants
aceattac.zip,Ace Attacker
aceattaca.zip,Ace Attacker
acrobatm.zip,Acrobat Mission
dogfgtu.zip,Acrobatic Dog-Fight
dogfgt.zip,Acrobatic Dog-Fight
actfancrj.zip,Act-Fancer Cybernetick Hyper Weapon
actfancr1.zip,Act-Fancer Cybernetick Hyper Weapon
actfancr2.zip,Act-Fancer Cybernetick Hyper Weapon
actfancr.zip,Act-Fancer Cybernetick Hyper Weapon
afighter.zip,Action Fighter
afighterc.zip,Action Fighter
afighterd.zip,Action Fighter
afighterh.zip,Action Fighter
afighterg.zip,Action Fighter
afighterf.zip,Action Fighter
afightere.zip,Action Fighter
afightera.zip,Action Fighter
afighterb.zip,Action Fighter
actionhw.zip,Action Hollywood
hatena.zip,Adventure Quiz 2 - Hatena? no Daibouken
cworld2j.zip,Adventure Quiz Capcom World 2
cworld2ja.zip,Adventure Quiz Capcom World 2
cworld2jb.zip,Adventure Quiz Capcom World 2
aerfboot.zip,Aero Fighters
aerfboo2.zip,Aero Fighters
aerofgtb.zip,Aero Fighters
aerofgtc.zip,Aero Fighters
aerofgt.zip,Aero Fighters
sonicwi2.zip,Aero Fighters 2 / Sonic Wings 2
sonicwi3.zip,Aero Fighters 3 / Sonic Wings 3
aeroboto.zip,Aeroboto
aerolitos.zip,Aerolitos
aerolitol.zip,Aerolitos Espaciales
aburner2g.zip,After Burner II
aburner2.zip,After Burner II
aburner.zip,After Burner
aoh.zip,Age Of Heroes - Silkroad 2
superbon.zip,Agent Super Bond
agentx1.zip,Agent X
agentx2.zip,Agent X
agentx3.zip,Agent X
agentx4.zip,Agent X
aodk.zip,Aggressors of Dark Kombat / Tsuukai GANGAN Koushinkyoku
agressb.zip,Agress - Missile Daisenryaku
agress.zip,Agress - Missile Daisenryaku
koshien.zip,Ah Eikou no Koshien
airass.zip,Air Assault
airattck.zip,Air Attack
airattcka.zip,Air Attack
airbustrb.zip,Air Buster: Trouble Specialty Raid Unit
airbustrj.zip,Air Buster: Trouble Specialty Raid Unit
airbustr.zip,Air Buster: Trouble Specialty Raid Unit
airdueljm72.zip,Air Duel
airduelu.zip,Air Duel
airduelm72.zip,Air Duel
airduel.zip,Air Duel
agallet.zip,Air Gallet
agalleth.zip,Air Gallet
agalletk.zip,Air Gallet
agalleta.zip,Air Gallet
agalletah.zip,Air Gallet
agalletak.zip,Air Gallet
agalletat.zip,Air Gallet
agalletau.zip,Air Gallet
agallett.zip,Air Gallet
agalletu.zip,Air Gallet
arescuej.zip,Air Rescue
arescueu.zip,Air Rescue
arescue.zip,Air Rescue
airwolfa.zip,Airwolf
airwolf.zip,Airwolf
ajaxj.zip,Ajax
ajax.zip,Ajax
akatana.zip,Akai Katana
akazukin.zip,Akazukin
akkaarrh.zip,Akka Arrh
akkanvdr.zip,Akkanbeder
akumajoun.zip,Akuma-Jou Dracula
akumajou.zip,Akuma-Jou Dracula
agalletj.zip,Akuu Gallet
agalletaj.zip,Akuu Gallet
alcon.zip,Alcon
alexkidd1.zip,Alex Kidd: The Lost Stars
alexkidd.zip,Alex Kidd: The Lost Stars
alibaba.zip,Ali Baba and 40 Thieves
alienar.zip,Alien Arena
aa.zip,Alien Armada
alienchac.zip,Alien Challenge
aliencha.zip,Alien Challenge
alinvade.zip,Alien Invaders
alienres.zip,Alien Rescue
aliensec.zip,Alien Sector
astormjd.zip,Alien Storm
astormj.zip,Alien Storm
astormud.zip,Alien Storm
astormu.zip,Alien Storm
astorm.zip,Alien Storm
astorm3d.zip,Alien Storm
astorm3.zip,Alien Storm
aliensynjo.zip,Alien Syndrome
aliensyn2.zip,Alien Syndrome
aliensyn3.zip,Alien Syndrome
aliensyn.zip,Alien Syndrome
aliensyn5.zip,Alien Syndrome
aliensynj.zip,Alien Syndrome
aliensyn7.zip,Alien Syndrome
avspa.zip,Alien vs. Predator
avspd.zip,Alien vs. Predator
avsp.zip,Alien vs. Predator
avsph.zip,Alien vs. Predator
avspj.zip,Alien vs. Predator
avspu.zip,Alien vs. Predator
alien3j.zip,Alien3: The Gun
alien3u.zip,Alien3: The Gun
alien3.zip,Alien3: The Gun
aliensa.zip,Aliens
aliensj.zip,Aliens
aliensj2.zip,Aliens
aliensu.zip,Aliens
aliensu2.zip,Aliens
aliens.zip,Aliens
aliens2.zip,Aliens
aliens3.zip,Aliens
aliens4.zip,Aliens
aligators.zip,Alligator Hunt
aligatoruna.zip,Alligator Hunt
aligatorun.zip,Alligator Hunt
aligator.zip,Alligator Hunt
alpham2.zip,Alpha Mission II / ASO II - Last Guardian
alpham2p.zip,Alpha Mission II / ASO II - Last Guardian
alphamis.zip,Alpha Mission
alphaone.zip,Alpha One
alphaonea.zip,Alpha One
alpha1v.zip,Alpha One
alpine.zip,Alpine Ski
alpinea.zip,Alpine Ski
altbeast2.zip,Altered Beast
altbeast4.zip,Altered Beast
altbeast5d.zip,Altered Beast
altbeast5.zip,Altered Beast
altbeast6.zip,Altered Beast
altbeast.zip,Altered Beast
ambushh.zip,Ambush
ambushj.zip,Ambush
ambushv.zip,Ambush
ambush.zip,Ambush
anteaterg.zip,Ameisenbaer
horshoes.zip,American Horseshoes
amspdwy.zip,American Speedway
amspdwya.zip,American Speedway
amidarb.zip,Amidar
amidar1.zip,Amidar
amidaro.zip,Amidar
amidars.zip,Amidar
amidaru.zip,Amidar
amidar.zip,Amidar
amigo.zip,Amigo
androdun.zip,Andro Dunos
androidpo.zip,Android
androidp.zip,Android
angelkds.zip,Angel Kids
cadanglr.zip,Angler Dangler
anteater.zip,Anteater
kovassg.zip,Ao Shi San Guo
kovassge.zip,Ao Shi San Guo
kovassgn.zip,Ao Shi San Guo
aponow.zip,Apocaljpse Now
appoooh.zip,Appoooh
